또 녹음하는 거	또|녹.음.하.는|거
생쥐 친구들 내가 여러분들을 특별히 초대하러 왔	생.쥐|친.구.들|내.가|여.러.분.들.을|특.별.히|초.대.하.러|왔
생쥐들이 고양이 비밀 모임에 와도 좋다는 결정이 내려졌	생.쥐.들.이|고.양.이|비.밀|모.임.에|와.도|좋.다.는|결.정.이|내.려.졌
생쥐들은 무척 신이 났	생.쥐.들.은|무.척|신.이|났
우리가 고양이 모임	우.리.가|고.양.이|모.임
덤프트	덤.프.트
고먕이 모임에 갈 수 있다	고.먕.이|모.임.에|갈|수|있.다
고양이는 말했어 고양이 모임에 가게 되면 고양이 비밀을 모두 알게 될거라	고.양.이.는|말.했.어|고.양.이|모.임.에|가.게|되.면|고.양.이|비.밀.을|모.두|알.게|될.거.라
한	한
생쥐들이	생.쥐.들.이
생쥐들이 고양이 집 앞에 모두 모였	생.쥐.들.이|고.양.이|집|앞.에|모.두|모.였
우와 모두 모였네 고양이가 말했지 얼마나 맛있을	우.와|모.두|모.였.네|고.양.이.가|말.했.지|얼.마.나|맛.있.을
응 그러니까 내 말은 모두 우리의 비밀을 알게될거라는 거에	응|그.러.니.까|내|말.은|모.두|우.리.의|비.밀.을|알.게.될.거.라.는|거.에
우리는 행진할 때 절대 뒤돌아 보지도 않아	우.리.는|행.진.할|때|절.대|뒤.돌.아|보.지.도|않.아
생쥐들 생쥐들 이렇게 행진을 하고 있	생.쥐.들|생.쥐.들|이.렇.게|행.진.을|하.고|있
고양이가 맨 뒤에 오고 말이	고.양.이.가|맨|뒤.에|오.고|말.이
절대 뒤를 돌아보지 말라고 했	절.대|뒤.를|돌.아.보.지|말.라.고|했
고양이 생쥐들이 한참 출발하고 있었	고.양.이|생.쥐.들.이|한.참|출.발.하.고|있.었
그 때 그 때 말야 고양이는 생쥐 한마리씩 잡아서 덥썩 잡아서 생쥐를 저기 뭐야 주머니에 쏙 쏙 집어 넣었단	그|때|그|때|말.야|고.양.이.는|생.쥐|한.마.리.씩|잡.아.서|덥.썩|잡.아.서|생.쥐.를|저.기|뭐.야|주.머.니.에|쏙|쏙|집.어|넣.었.단
하지만 저렇게 뒤돌아 보지도 않는다는 생쥐들은 그 말을 믿고 친구들이 잡히는 것도 모르고 있었	하.지.만|저.렇.게|뒤.돌.아|보.지.도|않.는.다.는|생.쥐.들.은|그|말.을|믿.고|친.구.들.이|잡.히.는|것.도|모.르.고|있.었
마벨라는 앞서가다 생각이 났	마.벨.라.는|앞.서.가.다|생.각.이|났
아빠가 항상 어디 가든 생각하고 주의를 살피라고 했거	아.빠.가|항.상|어.디|가.든|생.각.하.고|주.의.를|살.피.라.고|했.거
이상하다 왜 주의를 돌아보지 말라고 했을	이.상.하.다|왜|주.의.를|돌.아.보.지|말.라.고|했.을
마벨라는 슬쩍 뒤를 돌아보았	마.벨.라.는|슬.쩍|뒤.를|돌.아.보.았
오른쪽 왼쪽 뒤로 조심스럽	오.른.쪽|왼.쪽|뒤.로|조.심.스.럽
그러다가 고양이를 보게 되었	그.러.다.가|고.양.이.를|보.게|되.었
그 뒤에 늘어져 있던 생쥐들이 없어지고 몇마리 남지 않은 거	그|뒤.에|늘.어.져|있.던|생.쥐.들.이|없.어.지.고|몇.마.리|남.지|않.은|거
우와 마벨라는 생각했	우.와|마.벨.라.는|생.각.했
그래 생쥐 한 마리만 남았	그.래|생.쥐|한|마.리.만|남.았
고양이 주머니에는 생쥐들이 가득 했	고.양.이|주.머.니.에.는|생.쥐.들.이|가.득|했
마벨라는 걸음을 멈췄	마.벨.라.는|걸.음.을|멈.췄
고양이가 맨 끝이라고 그게 무슨 뜻이	고.양.이.가|맨|끝.이.라.고|그.게|무.슨|뜻.이
그건 아무도 고양이를 볼 수 없다는 뜻이구	그.건|아.무.도|고.양.이.를|볼|수|없.다.는|뜻.이.구
마벨라는 오른쪽으로 돌았	마.벨.라.는|오.른.쪽.으.로|돌.았
거기에 고양이가 있었	거.기.에|고.양.이.가|있.었
고양이는 마벨라 뒤에 있던 생쥐를 덥썩 잡았	고.양.이.는|마.벨.라|뒤.에|있.던|생.쥐.를|덥.썩|잡.았
마벨라는 아빠가 말해 준 마지막 말이 생각났	마.벨.라.는|아.빠.가|말.해|준|마.지.막|말.이|생.각.났
마벨라야 움직여야 할 때는 제빨리 움직여	마.벨.라.야|움.직.여.야|할|때.는|제.빨.리|움.직.여
마벨라는 제빨리 아주 제빨리 덤불 속으로 슝 뛰어들었	마.벨.라.는|제.빨.리|아.주|제.빨.리|덤.불|속.으.로|슝|뛰.어.들.었
고양이가 만약에 느렸다면 잡혔다면 제빨리 들어가서 잡히지 않았	고.양.이.가|만.약.에|느.렸.다.면|잡.혔.다.면|제.빨.리|들.어.가.서|잡.히.지|않.았
고양이가 확 덤벼들었지만 움켜잡은 것은 가시 뿐이었	고.양.이.가|확|덤.벼.들.었.지.만|움.켜.잡.은|것.은|가.시|뿐.이.었
가시덤불 속에 쏙 들어갔	가.시.덤.불|속.에|쏙|들.어.갔
고양이는 같히고 생쥐들은 풀려났	고.양.이.는|같.히.고|생.쥐.들.은|풀.려.났
그리고 마벨라는 오래오래 살면서 이 얘기를 했단	그.리.고|마.벨.라.는|오.래.오.래|살.면.서|이|얘.기.를|했.단
마벨라는 이 야기는 아이들에게 해 주었단	마.벨.라.는|이|야.기.는|아.이.들.에.게|해|주.었.단
아이들의 아이들에게 또 해주었	아.이.들.의|아.이.들.에.게|또|해.주.었
지금	지.금
이거 장작불 피고 있	이.거|장.작.불|피.고|있
이 이야기를 들려 준	이|이.야.기.를|들.려|준
마벨라의 아빠가 마벨라에게 가르쳐 준 것을 기억하면 좋	마.벨.라.의|아.빠.가|마.벨.라.에.게|가.르.쳐|준|것.을|기.억.하.면|좋
밖에 나가 다닐 때는 귀 기울여 잘 듣고 제빨리 움직여	밖.에|나.가|다.닐|때.는|귀|기.울.여|잘|듣.고|제.빨.리|움.직.여
무슨 말을 하는 지 잘 생각하면서 말해	무.슨|말.을|하.는|지|잘|생.각.하.면.서|말.해
그러면 똑똑해 질 수 있단다 하고 말이	그.러.면|똑.똑.해|질|수|있.단.다|하.고|말.이
이번에는 또 뭐 읽을 거	이.번.에.는|또|뭐|읽.을|거
그거 읽을꺼	그.거|읽.을.꺼
무당벌레와 나	무.당.벌.레.와|나
초록 벌레와 무당벌레는 사이 좋은 친구에	초.록|벌.레.와|무.당.벌.레.는|사.이|좋.은|친.구.에
사이 좋은 두 친구는 나무 위에 있는 집에서 함께 살았어	사.이|좋.은|두|친.구.는|나.무|위.에|있.는|집.에.서|함.께|살.았.어
무당벌레는 초록 벌레에게 멋진 하늘 위의 이야기를 해 주었지	무.당.벌.레.는|초.록|벌.레.에.게|멋.진|하.늘|위.의|이.야.기.를|해|주.었.지
어느날 꽈당 무당벌레가 이층 침대 위에 떨어졌어	어.느.날|꽈.당|무.당.벌.레.가|이.층|침.대|위.에|떨.어.졌.어
초록 벌레는 걱정이 되어 괜찮냐고 물어 봤지	초.록|벌.레.는|걱.정.이|되.어|괜.찮.냐.고|물.어|봤.지
아프고 졸렸던 무당벌레는 조금 심술을 부렸어	아.프.고|졸.렸.던|무.당.벌.레.는|조.금|심.술.을|부.렸.어
나만 이층에서 자고 불공평해 너도 이층으로 올라가서 자야 	나.만|이.층.에.서|자.고|불.공.평.해|너.도|이.층.으.로|올.라.가.서|자.야.|
하지만 초록 애벌레는 날개가 없어서 올라갈 수 없었	하.지.만|초.록|애.벌.레.는|날.개.가|없.어.서|올.라.갈|수|없.었
집을 나가 버렸어 미안해 무당벌레	집.을|나.가|버.렸.어|미.안.해|무.당.벌.레
다음 아침 야단 났네 초록 벌레가 없어졌	다.음|아.침|야.단|났.네|초.록|벌.레.가|없.어.졌
무당벌레는 초록 벌레를 찾으러 나섰	무.당.벌.레.는|초.록|벌.레.를|찾.으.러|나.섰
달팽이야 초록 벌레 보지 못했	달.팽.이.야|초.록|벌.레|보.지|못.했
글쎄 못 봤는	글.쎄|못|봤.는
아무리 찾아 보아도 초록 벌레는 보이지 않았어	아.무.리|찾.아|보.아.도|초.록|벌.레.는|보.이.지|않.았.어
해가 지고 있었어요 어떻게 된걸까 내가 심술을 부려서 나갔나	해.가|지.고|있.었.어.요|어.떻.게|된.걸.까|내.가|심.술.을|부.려.서|나.갔.나
미안해 초록 벌레야 어서 돌아와 	미.안.해|초.록|벌.레.야|어.서|돌.아.와.|
버	버
추운 겨울이 돌아왔어요 이제는 정말로 돌아오지 않으려는 구	추.운|겨.울.이|돌.아.왔.어.요|이.제.는|정.말.로|돌.아.오.지|않.으.려.는|구
난 봄까지 겨울잠을 자야 하는	난|봄.까.지|겨.울.잠.을|자.야|하.는
외톨이가 된 무당벌레는 겨울잠을 자기 위해 문을 잠갔지	외.톨.이.가|된|무.당.벌.레.는|겨.울.잠.을|자.기|위.해|문.을|잠.갔.지
새봄이 찾아 왔어	새.봄.이|찾.아|왔.어
무당벌레가 문을 열고 돌아보니 밖에는 많은 꽃이 피고 있었어	무.당.벌.레.가|문.을|열.고|돌.아.보.니|밖.에.는|많.은|꽃.이|피.고|있.었.어
세윤이도 오늘 꽃 많이 봤지	세.윤.이.도|오.늘|꽃|많.이|봤.지
그 때 꽃 속에서 낯익은 목소리가 들려왔어	그|때|꽃|속.에.서|낯.익.은|목.소.리.가|들.려.왔.어
영차영	영.차.영
세윤이는 그 중에 어떤 꽃이 더 맘에 들었	세.윤.이.는|그|중.에|어.떤|꽃.이|더|맘.에|들.었
둘 다 맘에 들었	둘|다|맘.에|들.었
두 	두.|
숲에는 이쁜 나비가 되기 위해 번데기에서 나오려고 하는 초록 벌레가 있었어	숲.에.는|이.쁜|나.비.가|되.기|위.해|번.데.기.에.서|나.오.려.고|하.는|초.록|벌.레.가|있.었.어
영차영	영.차.영
힘내 무당벌레가 도와 주었지	힘.내|무.당.벌.레.가|도.와|주.었.지
이제 무당벌레와 나비가 된 초록 벌레는 함께 하늘을 나면서 즐겁게 놀았답니	이.제|무.당.벌.레.와|나.비.가|된|초.록|벌.레.는|함.께|하.늘.을|나.면.서|즐.겁.게|놀.았.답.니
그래 알에서 애벌레가 나	그.래|알.에.서|애.벌.레.가|나
그래서 쑥쑥 먹고 점점 커	그.래.서|쑥.쑥|먹.고|점.점|커
그래서 번데기가 되서 시간이 지나면 번데기에서 나비가 나와서 이렇게 예쁜 나비가 되는 거에	그.래.서|번.데.기.가|되.서|시.간.이|지.나.면|번.데.기.에.서|나.비.가|나.와.서|이.렇.게|예.쁜|나.비.가|되.는|거.에
꿀	꿀
그래 꿀벌도 알에서 나온	그.래|꿀.벌.도|알.에.서|나.온
세윤아 아까 초록 애벌레가 번데기가 되어서 어떻게 됐	세.윤.아|아.까|초.록|애.벌.레.가|번.데.기.가|되.어.서|어.떻.게|됐
요렇게 되었어 요렇게 되었어 요렇게 되었	요.렇.게|되.었.어|요.렇.게|되.었.어|요.렇.게|되.었
맞았어 나비가 되었지 호	맞.았.어|나.비.가|되.었.지|호
세윤이가 여기서 무당벌레가 어디서 자다가 떨어진거	세.윤.이.가|여.기.서|무.당.벌.레.가|어.디.서|자.다.가|떨.어.진.거
그래 위에서 여기 이층에서 쿨쿨 자다가 꽈당 떨어졌	그.래|위.에.서|여.기|이.층.에.서|쿨.쿨|자.다.가|꽈.당|떨.어.졌
음 그래서 삐져가지고 심술 부렸다가 초록 벌레가 집을 나갔지 이렇	음|그.래.서|삐.져.가.지.고|심.술|부.렸.다.가|초.록|벌.레.가|집.을|나.갔.지|이.렇
후	후
이제는 뭘 보	이.제.는|뭘|보
위이잉 철	위.이.잉|철
그래 견인차가 붕붕 데리고 	그.래|견.인.차.가|붕.붕|데.리.고.|
맞았	맞.았
포크레인이 땅에 흙을 파서 덤프처럼 흙을 실어 주었	포.크.레.인.이|땅.에|흙.을|파.서|덤.프.처.럼|흙.을|실.어|주.었
지익 지익 지지지지	지.익|지.익|지.지.지.지
세윤이가 이 콩은 뭐할려고 세워 놨	세.윤.이.가|이|콩.은|뭐.할.려.고|세.워|놨
세윤이가 뭐 만드는 거	세.윤.이.가|뭐|만.드.는|거
흐	흐
와아 엄마가 사온 바나나 여기 있	와.아|엄.마.가|사.온|바.나.나|여.기|있
어 속에 바나나	어|속.에|바.나.나
그래 세윤이 먹었던 바나	그.래|세.윤.이|먹.었.던|바.나
세윤이가 왜 먹다가 놔 두었어 다 먹	세.윤.이.가|왜|먹.다.가|놔|두.었.어|다|먹
바나나 나무는 키가 이렇게 아주아주 크	바.나.나|나.무.는|키.가|이.렇.게|아.주.아.주|크
바나나 꽃도 아주 	바.나.나|꽃.도|아.주.|
세윤이 콩 모으는 거	세.윤.이|콩|모.으.는|거
우와 신기하	우.와|신.기.하
이것 봐 꽃이 지고 나면 여기 이렇게 바나나가 열	이.것|봐|꽃.이|지.고|나.면|여.기|이.렇.게|바.나.나.가|열
이것 봐봐 신기하	이.것|봐.봐|신.기.하
이것 봐 바나나가 완전히 커졌	이.것|봐|바.나.나.가|완.전.히|커.졌
바나나는 아주아주 더운 곳에서 자란	바.나.나.는|아.주.아.주|더.운|곳.에.서|자.란
우와 바나는 종류가 많구	우.와|바.나.는|종.류.가|많.구
루루루루루루루루루 바나나나나나 둠두두두	루.루.루.루.루.루.루.루.루|바.나.나.나.나.나|둠.두.두.두
으흐흠 으	으.흐.흠|으
콩세고 있었	콩.세.고|있.었
콩을 거디가 쏟아 붓는 거	콩.을|거.디.가|쏟.아|붓.는|거
콩이 많	콩.이|많
덤프 트럭에 또 담	덤.프|트.럭.에|또|담
그렇게 서면서 세윤이가 놓고 있는 거	그.렇.게|서.면.서|세.윤.이.가|놓.고|있.는|거
우와 콩이 진짜 많나 보	우.와|콩.이|진.짜|많.나|보
콩을 씼을 거	콩.을|씼.을|거
많이 씼을 거야 깨끗하	많.이|씼.을|거.야|깨.끗.하
알았어	알.았.어
됐다 세윤이 뭐 읽을까	됐.다|세.윤.이|뭐|읽.을.까
까꿍 내가 누구	까.꿍|내.가|누.구
오어 어흥 킁킁	오.어|어.흥|킁.킁
동물원에서 친구들과 까꿍 놀이할까 누구	동.물.원.에.서|친.구.들.과|까.꿍|놀.이.할.까|누.구
어흥 사	어.흥|사
누구	누.구
북금	북.금
누구	누.구
끼끼 원숭	끼.끼|원.숭
누구	누.구
아오 늑	아.오|늑
누구	누.구
꺅꺅 앵무	꺅.꺅|앵.무
누구	누.구
우엉우엉 물	우.엉.우.엉|물
누구	누.구
킁킁 코뿔	킁.킁|코.뿔
누구게 알아맞춰 봐라 누구	누.구.게|알.아.맞.춰|봐.라|누.구
나야 헤헤헤헤	나.야|헤.헤.헤.헤
어어 동물 친구들아 반가	어.어|동.물|친.구.들.아|반.가
사자 북극곰 늑대 늑대가 뭐 이상하게 생겼다 그렇	사.자|북.극.곰|늑.대|늑.대.가|뭐|이.상.하.게|생.겼.다|그.렇
원숭이 앵무새 코뿔소 물개 친	원.숭.이|앵.무.새|코.뿔.소|물.개|친
어 이번에 뭐 읽을	어|이.번.에|뭐|읽.을
수박과 참	수.박.과|참
초록색 줄무늬 수박이에요 여름철에 즐겨 먹는 수박이에	초.록.색|줄.무.늬|수.박.이.에.요|여.름.철.에|즐.겨|먹.는|수.박.이.에
껍질에 줄무늬가 삐뚤삐	껍.질.에|줄.무.늬.가|삐.뚤.삐
줄무늬가 모두 비슷해 보이지만 수박마다 조금씩 달라	줄.무.늬.가|모.두|비.슷.해|보.이.지.만|수.박.마.다|조.금.씩|달.라
햇볕을 받아서 익으면 줄무늬가 더욱 뚜렷해져	햇.볕.을|받.아.서|익.으.면|줄.무.늬.가|더.욱|뚜.렷.해.져
줄기가 자라요 수박은 위로 똑바로 자라지 못해	줄.기.가|자.라.요|수.박.은|위.로|똑.바.로|자.라.지|못.해
이렇게 덩굴 덩굴식물이기 때문이지	이.렇.게|덩.굴|덩.굴.식.물.이.기|때.문.이.지
우와 덩굴 줄기에는 가는 솜털이 나 있어요 다른 식물을 잘 감기 위해서래	우.와|덩.굴|줄.기.에.는|가.는|솜.털.이|나|있.어.요|다.른|식.물.을|잘|감.기|위.해.서.래
덩굴 손은 가늘지만 부드럽고 유연해서 잘 끊어지지 않아	덩.굴|손.은|가.늘.지.만|부.드.럽.고|유.연.해.서|잘|끊.어.지.지|않.아
덩굴 손이 되게 꼬불꼬불하지 세윤아 파마머리처	덩.굴|손.이|되.게|꼬.불.꼬.불.하.지|세.윤.아|파.마.머.리.처
우와 이거 봐 수박의 덩굴 손이 자라고 있어	우.와|이.거|봐|수.박.의|덩.굴|손.이|자.라.고|있.어
수박 씨를 뿌릴 때에는 붙잡고 자랄 수 있는 호박이나 박 같은 식물의 씨	수.박|씨.를|뿌.릴|때.에.는|붙.잡.고|자.랄|수|있.는|호.박.이.나|박|같.은|식.물.의|씨
함께 뿌리기도 한	함.께|뿌.리.기.도|한
옥수수에도 글쎄 옥수수에는 안 뿌리나본	옥.수.수.에.도|글.쎄|옥.수.수.에.는|안|뿌.리.나.본
어 꿀벌이 날아와서 옥수수 꽃에 앉았어요 어 수정이 됐어	어|꿀.벌.이|날.아.와.서|옥.수.수|꽃.에|앉.았.어.요|어|수.정.이|됐.어
여기 수박 열매가 보이지요 약한 줄무늬가 있	여.기|수.박|열.매.가|보.이.지.요|약.한|줄.무.늬.가|있
이 줄무늬가 점점점점 진해지고 커지	이|줄.무.늬.가|점.점.점.점|진.해.지.고|커.지
세윤이가 좋아하는 수박이 되는 거지	세.윤.이.가|좋.아.하.는|수.박.이|되.는|거.지
수박이 둥글고 크게 자라요 초록색 껍질의 줄무늬	수.박.이|둥.글.고|크.게|자.라.요|초.록.색|껍.질.의|줄.무.늬
그래 점점 진해져	그.래|점.점|진.해.져
그래 둥글둥	그.래|둥.글.둥
더 	더.|
커다란 수박이 되었어요 수박이 둥글게 둥글게 살이 올라요 우	커.다.란|수.박.이|되.었.어.요|수.박.이|둥.글.게|둥.글.게|살.이|올.라.요|우
수박을 반으로 	수.박.을|반.으.로.|
이거 이것도 수박인데 노란 수박이래 근데 속은 노란데 씨는 검은 색이	이.거|이.것.도|수.박.인.데|노.란|수.박.이.래|근.데|속.은|노.란.데|씨.는|검.은|색.이
잘 익은 수박을 잘랐더니 말간 속살에 까만 씨가 콕	잘|익.은|수.박.을|잘.랐.더.니|말.간|속.살.에|까.만|씨.가|콕
형이 수박을 한 입 베어 물었네 수박 친구들이에	형.이|수.박.을|한|입|베.어|물.었.네|수.박|친.구.들.이.에
수박은 생김새에 따라 나눌 수 있는데	수.박.은|생.김.새.에|따.라|나.눌|수|있.는.데
씨 없는 수박 노란 수박 하늘 수	씨|없.는|수.박|노.란|수.박|하.늘|수
노란 수박은 껍질이 얇고 아삭아삭 씹히는 속살 맛이 좋	노.란|수.박.은|껍.질.이|얇.고|아.삭.아.삭|씹.히.는|속.살|맛.이|좋
보통 수박에 비해 단 맛이 강하	보.통|수.박.에|비.해|단|맛.이|강.하
씨없는 수박은 싹을 틔우기가 아주 어려워서 쉽게 먹을 수는 없	씨.없.는|수.박.은|싹.을|틔.우.기.가|아.주|어.려.워.서|쉽.게|먹.을|수.는|없
하늘 수박은 뿌리가 고구마처럼 굵어지고 줄기는 다른 물체를 감으	하.늘|수.박.은|뿌.리.가|고.구.마.처.럼|굵.어.지.고|줄.기.는|다.른|물.체.를|감.으
위로 올라가요 껍질이 주황색으로 익으며 주로 한약재료로 쓰인	위.로|올.라.가.요|껍.질.이|주.황.색.으.로|익.으.며|주.로|한.약.재.료.로|쓰.인
어 노란고 동글동글한 참외에	어|노.란.고|동.글.동.글.한|참.외.에
참외 밭에 노란 참외가 주렁주렁 열렸어	참.외|밭.에|노.란|참.외.가|주.렁.주.렁|열.렸.어
엄마는 이	엄.마.는|이
참외는 수박과 함	참.외.는|수.박.과|함
그	그
여름철에 즐겨 먹지요 줄기와 잎이 자라요 어 수	여.름.철.에|즐.겨|먹.지.요|줄.기.와|잎.이|자.라.요|어|수
참외 씨를 심었더니 이렇게 새싹이 올라오고 어 점점 잎사귀가 많아지면	참.외|씨.를|심.었.더.니|이.렇.게|새.싹.이|올.라.오.고|어|점.점|잎.사.귀.가|많.아.지.면
그래 나중에는 잎사귀가 이렇게 커지	그.래|나.중.에.는|잎.사.귀.가|이.렇.게|커.지
어 이거 봐 신기해 처음에는 이렇게 둥근듯한 줄기에 있다	어|이.거|봐|신.기.해|처.음.에.는|이.렇.게|둥.근.듯.한|줄.기.에|있.다
점점 자라면서 이렇게 갈라지고 톱니가 생겨 뾰족뾰족 우	점.점|자.라.면.서|이.렇.게|갈.라.지.고|톱.니.가|생.겨|뾰.족.뾰.족|우
돌돌 말린 덩굴 손이 있어	돌.돌|말.린|덩.굴|손.이|있.어
그래 이거 봐 수박처럼 덩굴 손이 있어 감고 있어 그렇지 꼬불꼬	그.래|이.거|봐|수.박.처.럼|덩.굴|손.이|있.어|감.고|있.어|그.렇.지|꼬.불.꼬
꽃잎이 여러갈래인 참외 꽃이 활짝 피었어	꽃.잎.이|여.러.갈.래.인|참.외|꽃.이|활.짝|피.었.어
내가 수박 꽃이랑 닮았다고 하지만 내가 조금 작단	내.가|수.박|꽃.이.랑|닮.았.다.고|하.지.만|내.가|조.금|작.단
꿀벌이랑 나비가 꿀을 얻으러 왔다가 꽃가루를 암술 머리에 붙여주이	꿀.벌.이.랑|나.비.가|꿀.을|얻.으.러|왔.다.가|꽃.가.루.를|암.술|머.리.에|붙.여.주.이
어 참외가 이 수정이 돼서 아래 열매가 생겼어	어|참.외.가|이|수.정.이|돼.서|아.래|열.매.가|생.겼.어
이 꽃 아래 열매 생겼죠 이게 참외에요 우	이|꽃|아.래|열.매|생.겼.죠|이.게|참.외.에.요|우
초록색 열매가 노란게 익어갔네	초.록.색|열.매.가|노.란.게|익.어.갔.네
우와 달콤한 참외다 초록색 잎 사이로 노란색 참외들이 주렁주	우.와|달.콤.한|참.외.다|초.록.색|잎|사.이.로|노.란.색|참.외.들.이|주.렁.주
햇볕을 받으면 껍질이 짙은 노란색으로 변해	햇.볕.을|받.으.면|껍.질.이|짙.은|노.란.색.으.로|변.해
참외 껍질에 홈이 여러 개 생기고 겉이 단단해지면 다 익은 거에	참.외|껍.질.에|홈.이|여.러|개|생.기.고|겉.이|단.단.해.지.면|다|익.은|거.에
잘 익은 참외를 반으로 잘랐더니 달콤한 냄새가 솔	잘|익.은|참.외.를|반.으.로|잘.랐.더.니|달.콤.한|냄.새.가|솔
하얀 색 속살에는 노란 씨가 빼곡히 들어있네	하.얀|색|속.살.에.는|노.란|씨.가|빼.곡.히|들.어.있.네
그래 빼곡히 들어있	그.래|빼.곡.히|들.어.있
그거는 참외 씨는 소화가 잘 되게 도와준	그.거.는|참.외|씨.는|소.화.가|잘|되.게|도.와.준
우와 수박을 잘라보면 까만 씨도 있고 하얀 씨도 있어요 세윤	우.와|수.박.을|잘.라.보.면|까.만|씨.도|있.고|하.얀|씨.도|있.어.요|세.윤
까만 씨는 잘 익은 씨고 하얀 씨는 아직 익지 않은 씨	까.만|씨.는|잘|익.은|씨.고|하.얀|씨.는|아.직|익.지|않.은|씨
그래서 땅에 심을 때는 까만 씨만 사용해야 된	그.래.서|땅.에|심.을|때.는|까.만|씨.만|사.용.해.야|된
어 그렇구	어|그.렇.구
오우 이번에 뭐 읽	오.우|이.번.에|뭐|읽
어 이게 뭐	어|이.게|뭐
뿌웅 보리 방귀 어 친구가 방귀를 꼈	뿌.웅|보.리|방.귀|어|친.구.가|방.귀.를|꼈
무슨 내용이지 이게 뭐	무.슨|내.용.이.지|이.게|뭐
보리밥 세윤이 보리밥 먹어 봤	보.리.밥|세.윤.이|보.리.밥|먹.어|봤
파	파
이거 봐 보리밥은 많이 먹어야 된데 왜냐고 배가 빨리 꺼진	이.거|봐|보.리.밥.은|많.이|먹.어.야|된.데|왜.냐.고|배.가|빨.리|꺼.진
옛날에는 지금처럼 쌀밥을 먹기 힘들어서 보리밥을 많이 먹었	옛.날.에.는|지.금.처.럼|쌀.밥.을|먹.기|힘.들.어.서|보.리.밥.을|많.이|먹.었
보리밥 먹을 때는 이렇게 보리밥에다가 고추 토마토 김치 해 가지	보.리.밥|먹.을|때.는|이.렇.게|보.리.밥.에.다.가|고.추|토.마.토|김.치|해|가.지
이렇게 앉아서 꼭꼭 씹어먹으면	이.렇.게|앉.아.서|꼭.꼭|씹.어.먹.으.면
아래에는 멍멍이가 이렇게 아우 맛있겠다 하면서 구경하고 있었	아.래.에.는|멍.멍.이.가|이.렇.게|아.우|맛.있.겠.다|하.면.서|구.경.하.고|있.었
어 개울물에 가서 놀고 있네 보리밥을 잔뜩 먹고 물놀이 해 봤	어|개.울.물.에|가.서|놀.고|있.네|보.리.밥.을|잔.뜩|먹.고|물.놀.이|해|봤
뿌룩 뿌룩 방귀가 잘 나	뿌.룩|뿌.룩|방.귀.가|잘|나
물 속에서 방귀를 뀌면 뽀꼬로로록 거품이 올라오잖	물|속.에.서|방.귀.를|뀌.면|뽀.꼬.로.로.록|거.품.이|올.라.오.잖
그거를 폭 건지면 구린내가 나 아우 냄	그.거.를|폭|건.지.면|구.린.내.가|나|아.우|냄
그러면 친구들이 다 도망가지 수박도 먹고 있	그.러.면|친.구.들.이|다|도.망.가.지|수.박.도|먹.고|있
어 이게 보리쌀이야 보리	어|이.게|보.리.쌀.이.야|보.리
보리는 이렇게 희한하게 생겼지 이거 봐 보	보.리.는|이.렇.게|희.한.하.게|생.겼.지|이.거|봐|보
