누구니 이사람	누.구.니|이.사.람
빨리 가서 조기 조기 	빨.리|가.서|조.기|조.기
응 엄마 책 찐 책	응|엄.마|책|찐|책
이거 뭐라구	이.거|뭐.라.구
응 그건 피아노랑 비슷해	응|그.건|피.아.노.랑|비.슷.해
그래 실로폰이 피아노랑 비슷하다	그.래|실.로.폰.이|피.아.노.랑|비.슷.하.다
맘마 먹는거야	맘.마|먹.는.거.야
실로 폰 뚜드리는 공이지 그게 왜 맘마 먹는거니	실.로|폰|뚜.드.리.는|공.이.지|그.게|왜|맘.마|먹.는.거.니
참 비슷하게 생겼다	참|비.슷.하.게|생.겼.다
요거는 뭐니	요.거.는|뭐.니
누구 집	누.구|집
찐 집 이거는	찐|집|이.거.는
배 이거는	배|이.거.는
으응 그런 것도 알아	으.응|그.런|것.도|알.아
나팔	나.팔
우우 부는거지	우.우|부.는.거.지
나팔 나팔	나.팔|나.팔
그럼 뭐야	그.럼|뭐.야
이건 배고 이거는	이.건|배.고|이.거.는
뿌 부는 나팔	뿌|부.는|나.팔
응	응
이거는 	이.거.는
사과	사.과
사과지 하가 아니야	사.과.지|하.가|아.니.야
이거 꼬까야	이.거|꼬.까.야
뭐야	뭐.야
응	응
칫이 뭐야	칫.이|뭐.야
칫이 뭐야	칫.이|뭐.야
치즈	치.즈
칫솔	칫.솔
이건 개구리야 엄마 개구리 아기 개구리	이.건|개.구.리.야|엄.마|개.구.리|아.기|개.구.리
이건 아빠구	이.건|아.빠.구
히히히 이건 사과지	히.히.히|이.건|사.과.지
아빠다	아.빠.다
요거 뭐니	요.거|뭐.니
그래 그래 촛불 후 하는 거	그.래|그.래|촛.불|후|하.는|거
이건	이.건
지원이 꼬까다 그치	지.원.이|꼬.까.다|그.치
요기 또 있네	요.기|또|있.네
요거는	요.거.는
얘 뭐 하니	얘|뭐|하.니
이거 뭐야	이.거|뭐.야
응	응
팽이 뭐야	팽.이|뭐.야
얘 공부하고 있네	얘|공.부.하.고|있.네
책 보고있네 책 보고 있어	책|보.고.있.네|책|보.고|있.어
요게 뭐야	요.게|뭐.야
으응 채기	으.응|채.기
찐이 뭐 해	찐.이|뭐|해
그네 타고 있지	그.네|타.고|있.지
으응 얘는 뭐 하고 있어	으.응|얘.는|뭐|하.고|있.어
책이를 읽어	책.이.를|읽.어
너는 왜 책을 책이라 그러니	너.는|왜|책.을|책.이.라|그.러.니
그 좀 이상하네	그|좀|이.상.하.네
으응 엄마 책	으.응|엄.마|책
그 다음에 또 무슨 책 볼까	그|다.음.에|또|무.슨|책|볼.까
갖구 와 보세요	갖.구|와|보.세.요
요기 앉아	요.기|앉.아
얘 누구야	얘|누.구.야
얘는 하나	얘.는|하.나
으응 그래	으.응|그.래
얘는	얘.는
으응 여기 몇 사람이 있어	으.응|여.기|몇|사.람.이|있.어
뭐	뭐
하나 둘 두 사람이 있네	하.나|둘|두|사.람.이|있.네
내일 해	내.일|해
그럼 뭐 봐	그.럼|뭐|봐
이거 볼래	이.거|볼.래
앉아 여기	앉.아|여.기
또 얜 누구니	또|얜|누.구.니
말	말
아니야	아.니.야
얜 소야 소	얜|소.야|소
얘는 누구니	얘.는|누.구.니
응 호랑이	응|호.랑.이
그치만 사실은 야옹이야	그.치.만|사.실.은|야.옹.이.야
얘는 누구니	얘.는|누.구.니
얘두 말이야	얘.두|말.이.야
누구야	누.구.야
여기 잘 봐 어떻게 생겼나	여.기|잘|봐|어.떻.게|생.겼.나
여기 누구야	여.기|누.구.야
꿀꿀이야 	꿀.꿀.이.야
엄마 꿀꿀이 애기 꿀꿀이	엄.마|꿀.꿀.이|애.기|꿀.꿀.이
이거는	이.거.는
아이구 또 이거 엄마지	아.이.구|또|이.거|엄.마.지
아가지	아.가.지
엄마야	엄.마.야
오	오
얘 뭐 하니	얘|뭐|하.니
물 속에서 빠졌네 물 속에 빠졌네	물|속.에.서|빠.졌.네|물|속.에|빠.졌.네
그래서 사람 살려 	그.래.서|사.람|살.려
얜 누구니	얜|누.구.니
뭐 하는 거야	뭐|하.는|거.야
이거 뭐야	이.거|뭐.야
팡이	팡.이
응	응
아이 재미 없다	아.이|재.미|없.다
얘 뭐 하니	얘|뭐|하.니
요거 뭐니	요.거|뭐.니
우유 통 우유통	우.유|통|우.유.통
물고기	물.고.기
어디 물고기가 있어	어.디|물.고.기.가|있.어
물 컵	물|컵
아이 또 뭐 할거 없나	아.이|또|뭐|할.거|없.나
아	아
여기 그림 자연 동화 꼼 보자 우리 꼼 보자	여.기|그.림|자.연|동.화|꼼|보.자|우.리|꼼|보.자
우 리 꼼	우|리|꼼
이리 와 봐 꼼	이.리|와|봐|꼼
여기 앉으세요	여.기|앉.으.세.요
쉬 하면서 보게	쉬|하.면.서|보.게
얜 누구니	얜|누.구.니
말	말
이거는	이.거.는
꼼만 보고 싶니 넌	꼼.만|보.고|싶.니|넌
꼼 나왔네 	꼼|나.왔.네
어 그래그래	어|그.래.그.래
누구 꼼이야	누.구|꼼.이.야
응 그래	응|그.래
이 꼼은 누구야	이|꼼.은|누.구.야
응 요거는	응|요.거.는
요거 누구	요.거|누.구
응 요거는	응|요.거.는
응 찐 아기꼼	응|찐|아.기.꼼
요거는	요.거.는
응 요거는	응|요.거.는
응 엄마 꼼 찐 아기꼼	응|엄.마|꼼|찐|아.기.꼼
그래서 엄마 꼼이 뭐 하고 있어	그.래.서|엄.마|꼼.이|뭐|하.고|있.어
오 손을 번쩍 들었어	오|손.을|번.쩍|들.었.어
오 얘는 누구니	오|얘.는|누.구.니
탁 손 때렸어	탁|손|때.렸.어
응 얘는 누구야	응|얘.는|누.구.야
어이구 무서워 으흠 이야	어.이.구|무.서.워|으.흠|이.야
그래 그런데 사실은 이게 사자야 사자	그.래|그.런.데|사.실.은|이.게|사.자.야|사.자
응 사자 지원이 이불에도 있지	응|사.자|지.원.이|이.불.에.도|있.지
이게 누구니	이.게|누.구.니
그래 저기 있는 으흥 호랑이야	그.래|저.기|있.는|으.흥|호.랑.이.야
요것도 호랑이다 그치	요.것.도|호.랑.이.다|그.치
이건 뭐야	이.건|뭐.야
그래 이것도 호랑이야	그.래|이.것.도|호.랑.이.야
이것두 이건 커	이.것.두|이.건|커
커가 뭐야	커.가|뭐.야
엄마 꺼	엄.마|꺼
에이구 무슨 소린지 모르겠다	에.이.구|무.슨|소.린.지|모.르.겠.다
얘는	얘.는
얘는 누구니	얘.는|누.구.니
잘 봐 봐	잘|봐|봐
누구야	누.구.야
얘는 누구야	얘.는|누.구.야
누구니	누.구.니
아	아
그래 표지에 있는거랑 똑같은 거라 그랬어	그.래|표.지.에|있.는.거.랑|똑.같.은|거.라|그.랬.어
히히히 같다 그치	히.히.히|같.다|그.치
얘 누구니	얘|누.구.니
근데	근.데
원숭이야 얘도	원.숭.이.야|얘.도
이상하게 생긴	이.상.하.게|생.긴
얘는 누구니	얘.는|누.구.니
뻑꾹	뻑.꾹
코끼리 	코.끼.리
코끼리래두 지원이 넌 이 코끼리 있잖아	코.끼.리.래.두|지.원.이|넌|이|코.끼.리|있.잖.아
요거 봐 생긴 거 비슷하잖아 코가 이렇게 길지	요.거|봐|생.긴|거|비.슷.하.잖.아|코.가|이.렇.게|길.지
귀가 이만하지	귀.가|이.만.하.지
그래 이거 누구라고	그.래|이.거|누.구.라.고
응 	응
뭐라구 이거	뭐.라.구|이.거
똑같애	똑.같.애
똑까 또까	똑.까|또.까
지원이 코기리랑 요 사진에 나온 코끼리 또까	지.원.이|코.기.리.랑|요|사.진.에|나.온|코.끼.리|또.까
응 코끼리에 귀 어디 있어 그럼	응|코.끼.리.에|귀|어.디|있.어|그.럼
그건 지원이 귀지 코끼리 귀 어디 있어	그.건|지.원.이|귀.지|코.끼.리|귀|어.디|있.어
으응 여기서 저 가리켜 봐	으.응|여.기.서|저|가.리.켜|봐
으응 코끼리 코는 어디있어	으.응|코.끼.리|코.는|어.디.있.어
이게 코야	이.게|코.야
응	응
어떻게 	어.떻.게
요게 코지	요.게|코.지
뭐가 아니니 그렇다는데	뭐.가|아.니.니|그.렇.다.는.데
응	응
이거	이.거
코끼리 그럼 귀는 어디 있어	코.끼.리|그.럼|귀.는|어.디|있.어
그건 지원이 귀지	그.건|지.원.이|귀.지
코끼리 귀 	코.끼.리|귀
그랬어	그.랬.어
아이구 어	아.이.구|어
코끼리 나왔다 또 얘네 코끼리 뭐 하는거니	코.끼.리|나.왔.다|또|얘.네|코.끼.리|뭐|하.는.거.니
뽀뽀 하는 거지 뻐꾹이아니라 엄마랑 뽀뽀 하까	뽀.뽀|하.는|거.지|뻐.꾹.이.아.니.라|엄.마.랑|뽀.뽀|하.까
우웅 	우.웅
코끼리들끼리 뽀뽀 했지	코.끼.리.들.끼.리|뽀.뽀|했.지
얘는 뭐니	얘.는|뭐.니
얘 누구니	얘|누.구.니
으응 그래	으.응|그.래
코 자라 	코|자.라
얘는 누구야	얘.는|누.구.야
똑같애	똑.같.애
얘는 크구 얘는 쪼그마치	얘.는|크.구|얘.는|쪼.그.마.치
지원이 처럼 쪼그마치	지.원.이|처.럼|쪼.그.마.치
얘는 엄마처럼 크지	얘.는|엄.마.처.럼|크.지
그럼 얘는 누구야	그.럼|얘.는|누.구.야
엄마 코끼리 찐 코끼리 	엄.마|코.끼.리|찐|코.끼.리
응 아빠는 어디있어	응|아.빠.는|어.디.있.어
그건 아빠 코끼리고	그.건|아.빠|코.끼.리.고
그럼 이건 누구야	그.럼|이.건|누.구.야
엄마 코끼리고 아이구 이 엄마 코끼리랑 아빠 코끼리는 사이도 좋네 	엄.마|코.끼.리.고|아.이.구|이|엄.마|코.끼.리.랑|아.빠|코.끼.리.는|사.이.도|좋.네
헤헤헤 그러네 	헤.헤.헤|그.러.네
할머니는 어디 있어	할.머.니.는|어.디|있.어
고거야	고.거.야
그럼 찐은	그.럼|찐.은
으응 그 다음에 이건 뭐니	으.응|그|다.음.에|이.건|뭐.니
어 너 감기 걸렸구나	어|너|감.기|걸.렸.구.나
이건 뭐야	이.건|뭐.야
응 엄마 말 응 요거는	응|엄.마|말|응|요.거.는
응 찐 말	응|찐|말
요거는	요.거.는
엄마 말 요거는	엄.마|말|요.거.는
아빠 말 요거는	아.빠|말|요.거.는
엄마 말	엄.마|말
그럼 누구 말	그.럼|누.구|말
응	응
야 이게 아빠 말이야 엄마 말이야	야|이.게|아.빠|말.이.야|엄.마|말.이.야
이거 뭐야	이.거|뭐.야
응 이거는	응|이.거.는
으응 아빠 말이 더 커	으.응|아.빠|말.이|더|커
으응 얘 누구니 귀엽다 얘 누구니	으.응|얘|누.구.니|귀.엽.다|얘|누.구.니
으응	으.응
헤헤 얘 누구야	헤.헤|얘|누.구.야
빵	빵
아 빵 먹는다구	아|빵|먹.는.다.구
근데 얘 누구냐구	근.데|얘|누.구.냐.구
응 숭이	응|숭.이
으응 숭이지	으.응|숭.이.지
원숭이	원.숭.이
원숭이가 뭐 해	원.숭.이.가|뭐|해
빵을 어떻게 하고 있어	빵.을|어.떻.게|하.고|있.어
응 손에 빵 쥐고 어떻게 하고 있어	응|손.에|빵|쥐.고|어.떻.게|하.고|있.어
응 먹어	응|먹.어
원숭이가 빵을 어떻게 하고 있어	원.숭.이.가|빵.을|어.떻.게|하.고|있.어
으응 손에 쥐고 먹어 	으.응|손.에|쥐.고|먹.어
어	어
얘 누구니	얘|누.구.니
응 	응
푸해	푸.해
뭘 푸해	뭘|푸.해
으응 애기 원숭이가 엄마 원숭이 젖 먹고 있는게 꼭 푸하고 있는 것처럼 보이네 아 닌게 아니라 	으.응|애.기|원.숭.이.가|엄.마|원.숭.이|젖|먹.고|있.는.게|꼭|푸.하.고|있.는|것.처.럼|보.이.네|아|닌.게|아.니.라
하하 요거 뭐니	하.하|요.거|뭐.니
지원아	지.원.아
요거	요.거
흐흐 아이구 재밌다	흐.흐|아.이.구|재.밌.다
아이구 재밌다	아.이.구|재.밌.다
요거 뭐니 지원아	요.거|뭐.니|지.원.아
응 요거 찌찌 같은데	응|요.거|찌.찌|같.은.데
아이구 좋아라	아.이.구|좋.아.라
눈 가리고 웃고 난리네	눈|가.리.고|웃.고|난.리.네
얘 누구야	얘|누.구.야
응	응
샤미	샤.미
원숭이지 아이구 지겨우니까 말도 안하네	원.숭.이.지|아.이.구|지.겨.우.니.까|말.도|안.하.네
그러면은 요 뒤에	그.러.면.은|요|뒤.에
얘는 누구니	얘.는|누.구.니
흥	흥
얼만큼 남았나 보자	얼.만.큼|남.았.나|보.자
요거 뭐니	요.거|뭐.니
똑같애	똑.같.애
이거 어느 건데 어느 거	이.거|어.느|건.데|어.느|거
어 	어
응 책이	응|책.이
응 이거는	응|이.거.는
어 이거는 뽀뽀뽀로 보이구	어|이.거.는|뽀.뽀.뽀.로|보.이.구
이거는 뽀뽀뽀 카세트 테이프로 보이고 이거는	이.거.는|뽀.뽀.뽀|카.세.트|테.이.프.로|보.이.고|이.거.는
책이로 보이구	책.이.로|보.이.구
엄마가 보기에는 똑같은데 니 눈에는 그렇게 보일까	엄.마.가|보.기.에.는|똑.같.은.데|니|눈.에.는|그.렇.게|보.일.까
응	응
응	응
아빠 책이 엄마 책이 요건는	아.빠|책.이|엄.마|책.이|요.건.는
응 엄마 책이 이만촘 있어	응|엄.마|책.이|이.만.촘|있.어
엄마는 책 갖고 뭐해	엄.마.는|책|갖.고|뭐.해
엄마는 책을 먹어	엄.마.는|책.을|먹.어
책을 어떻게 먹어	책.을|어.떻.게|먹.어
흥 이거는 누구 책이야	흥|이.거.는|누.구|책.이.야
이거는 누구 첵이야	이.거.는|누.구|첵.이.야
응 찐이는 책갖고 뭐해	응|찐.이.는|책.갖.고|뭐.해
대답두 안 하네	대.답.두|안|하.네
응 꼼 나왔다 누구 꼼	응|꼼|나.왔.다|누.구|꼼
요건	요.건
요건	요.건
으응 그랬어	으.응|그.랬.어
응 그래	응|그.래
뽀뽀도 있었어	뽀.뽀.도|있.었.어
어이 이거 뭐니	어.이|이.거|뭐.니
뽀뽀뽀 여기도 나와 봐 보여 주까	뽀.뽀.뽀|여.기.도|나.와|봐|보.여|주.까
이거 뭐라구	이.거|뭐.라.구
이거는	이.거.는
응 책이	응|책.이
얘 지원아 이거 뭐니	얘|지.원.아|이.거|뭐.니
뽀뽀뽀 뽀뽀뽀 	뽀.뽀.뽀|뽀.뽀.뽀
이거 뭐니	이.거|뭐.니
이거 이거 이거 알면 희한한거다	이.거|이.거|이.거|알.면|희.한.한.거.다
이거 뭐야	이.거|뭐.야
이게 우 야	이.게|우|야
으응 빠빠빠	으.응|빠.빠.빠
으응 뽀뽀	으.응|뽀.뽀
지원아 얘 뭐 하니	지.원.아|얘|뭐|하.니
응	응
얘 뭐해	얘|뭐.해
요게 뭐니	요.게|뭐.니
엄마 뭐야	엄.마|뭐.야
엄마 아퍼 애는	엄.마|아.퍼|애.는
이거는 찐이야	이.거.는|찐.이.야
누구야	누.구.야
이거 초야	이.거|초.야
어떻게 쉬 해	어.떻.게|쉬|해
응 아빠는 서서 쉬 해	응|아.빠.는|서.서|쉬|해
그럼 엄마는	그.럼|엄.마.는
엄마는 어떻게 쉬 해	엄.마.는|어.떻.게|쉬|해
앉어서 쉬 해	앉.어.서|쉬|해
어이구 앉어라는 것도 해 지원이	어.이.구|앉.어.라.는|것.도|해|지.원.이
그럼 찌원이는 어떻게 쉬 해	그.럼|찌.원.이.는|어.떻.게|쉬|해
으응 앉어서 쉬 해	으.응|앉.어.서|쉬|해
어어 그렇구나	어.어|그.렇.구.나
그러면은 아빠는 어때	그.러.면.은|아.빠.는|어.때
웅웅이	웅.웅.이
수염이 나서 여기	수.염.이|나.서|여.기
엄마는	엄.마.는
엄마도 이이 해	엄.마.도|이.이|해
아니야	아.니.야
응 엄마는 안 하지 화장 하지	응|엄.마.는|안|하.지|화.장|하.지
응	응
그러면 남자도 여자도 같은일을 할 수 있는데 운동선수가 달려 가 테레비에 나올 수도 있어요	그.러.면|남.자.도|여.자.도|같.은.일.을|할|수|있.는.데|운.동.선.수.가|달.려|가|테.레.비.에|나.올|수.도|있.어.요
선생님이 될 수도 있어요 의사가 될 수도 있어요 지원이는 뭐가 되고 싶어요	선.생.님.이|될|수.도|있.어.요|의.사.가|될|수.도|있.어.요|지.원.이.는|뭐.가|되.고|싶.어.요
요거 의사	요.거|의.사
