okita no	o.ki.ta.no
chiisai ko o kawaigaran to iken yo	chii.sa.i.ko.o.ka.wa.i.ga.ran.to.i.ke.n.yo
mina to nakayoku asobanakya daremo asobi ni kite kurenai yo	mi.na.to.na.ka.yo.ku.a.so.ba.na.kya.da.re.mo.a.so.bi.ni.ki.te.ku.re.na.i.yo
wakatta	wa.ka.tta
moo sukoshi shite kara ne	moo.su.ko.shi.shi.te.ka.ra.ne
pan yaite ageyoo ne	pan.ya.i.te.a.ge.yoo.ne
kitanai te ne	ki.ta.na.i.te.ne
boku wa miimii nomanai ne	bo.ku.wa.mii.mii.no.ma.na.i.ne
Sadafumichan suika taberu	Sa.da.fu.mi.chan.su.i.ka.ta.be.ru
soo yo	soo.yo
abunai kara ne	a.bu.na.i.ka.ra.ne
chiisai sandaru hakinasai	chii.sa.i.san.da.ru.ha.ki.na.sa.i
Sadafumichan mo ato de hairinasai yo	Sa.da.fu.mi.chan.mo.a.to.de.ha.i.ri.na.sa.i.yo
are nani ne burasagatte ir	a.re.na.ni.ne.bu.ra.sa.ga.tte.i.r
maa doo shita no yo	maa.doo.shi.ta.no.yo
yonaka ni wa oshikk	yo.na.ka.ni.wa.o.shi.kk
pai suru kara shita mukinasai	pa.i.su.ru.ka.ra.shi.ta.mu.ki.na.sa.i
soo	soo
boku wa ato de hairu no	bo.ku.wa.a.to.de.ha.i.ru.no
matte ne	ma.tte.ne
saa boku yo	saa.bo.ku.yo
sukoshi omizu ireyoo ne	su.ko.shi.o.mi.zu.i.re.yoo.ne
kochira e omizu chirashicha dame yo	ko.chi.ra.e.o.mi.zu.chi.ra.shi.cha.da.me.yo
agaran@q janai yo	a.ga.ran.@q.ja.na.i.yo
sonnani omoshiroi no	son.na.ni.o.mo.shi.ro.i.no
asemo no okusuri ireyoo ne	a.se.mo.no.o.ku.su.ri.i.re.yoo.ne
soo	soo
agaru toki yonde ne	a.ga.ru.to.ki.yon.de.ne
agaru yo itte yo	a.ga.ru.yo.i.tte.yo
Sadafumichan baka ne	Sa.da.fu.mi.chan.ba.ka.ne
nani shiteru no	na.ni.shi.te.ru.no
kitanai omizu kuchi ni irecha dame yo	ki.ta.na.i.o.mi.zu.ku.chi.ni.i.re.cha.da.me.yo
agatte kara nanika nomu mono ageyoo	a.ga.tte.ka.ra.na.ni.ka.no.mu.mo.no.a.ge.yoo
agannasai yo	a.gan.na.sa.i.yo
naku ko wa kagi shimete okimasu	na.ku.ko.wa.ka.gi.shi.me.te.o.ki.ma.su
saa kiyoo	saa.ki.yoo
oyoofuku kiyoo	o.yoo.fu.ku.ki.yoo
hayoo kin to obake ga Sadafumichan tte kuru yo	ha.yoo.kin.to.o.ba.ke.ga.Sa.da.fu.mi.cha.n.tte.ku.ru.yo
kowai desho	ko.wa.i.de.sho
obake no tokoro e ittara nani monai yo miimii mo nanimo ne	o.ba.ke.no.to.ko.ro.e.i.tta.ra.na.ni.mo.na.i.yo.mii.mii.mo.na.ni.mo.ne
saa nenne shimashoo	saa.nen.ne.shi.ma.shoo
senpuuki irattara dame	sen.puu.ki.i.ra.tta.ra.da.me
boku nenne shimashoo	bo.ku.nen.ne.shi.ma.shoo
a	a
oshikko wa	o.shi.kko.wa
ara sukoshi deteru janai no	a.ra.su.ko.shi.de.te.ru.ja.na.i.no
moo sukoshi hayaku iwanakya dame yo	moo.su.ko.shi.ha.ya.ku.i.wa.na.kya.da.me.yo
henji dake ja dame yo	hen.ji.da.ke.ja.da.me.yo
sukoshi mae ni iu no yo	su.ko.shi.ma.e.ni.i.u.no.yo
oishii ne	o.i.shii.ne
arigatoo	a.ri.ga.too
Sadafumichan hirotte sutete ne	Sa.da.fu.mi.chan.hi.ro.tte.su.te.te.ne
orikoosan	o.ri.koo.san
soo yoku shitteru ne	soo.yo.ku.shi.tte.ru.ne
Sadafumichan uchi de mattete tte	Sa.da.fu.mi.chan.u.chi.de.ma.tte.te.tte
orikoo ne	o.ri.koo.ne
soo ne	soo.ne
ofuton	o.fu.ton
kore de ii desho	ko.re.de.ii.de.sho
Sadafumichan kore agemashoo ne	Sa.da.fu.mi.chan.ko.re.a.ge.ma.shoo.ne
gohan no toki taberu no yo	go.han.no.to.ki.ta.be.ru.no.yo
arigatoo wa	a.ri.ga.too.wa
ippon dake mukoo ne	i.ppon.da.ke.mu.koo.ne
sukoshi ageyoo	su.ko.shi.a.ge.yoo
kore mite	ko.re.mi.te
kyoo kore dake shika nai no yo	kyoo.ko.re.da.ke.shi.ka.na.i.no.yo
kore de mina yo	ko.re.de.mi.na.yo
akachan okiru kara nainai shite ne	a.ka.chan.o.ki.ru.ka.ra.na.i.na.i.shi.te.ne
gohan da kara ashita ikoo ne	go.han.da.ka.ra.a.shi.ta.i.koo.ne
otosanai to warenai yo	o.to.sa.na.i.to.wa.re.na.i.yo
soo	soo
dare ga ne	da.re.ga.ne
okashii desho annani naku to	o.ka.shii.de.sho.an.na.ni.na.ku.to
kondo nakanai	kon.do.na.ka.na.i
nani tsukuru	na.ni.tsu.ku.ru
kore naniiro	ko.re.na.nii.ro
sore wa	so.re.wa
uso iinasai	u.so.ii.na.sa.i
soo yo	soo.yo
nan datta ka ne	nan.da.tta.ka.ne
soo bokuchan otoshi ikutsu	soo.bo.ku.chan.o.to.shi.i.ku.tsu
iya ne	i.ya.ne
kore naniiro	ko.re.na.nii.ro
guriin desho	gu.riin.de.sho
hantai bakari suru no ne	han.ta.i.ba.ka.ri.su.ru.no.ne
kore boku no toshi to onaji futatsu da	ko.re.bo.ku.no.to.shi.to.o.na.ji.fu.ta.tsu.da
outa utatte minasai	o.u.ta.u.ta.tte.mi.na.sa.i
nani kakeru	na.ni.ka.ke.ru
mada aru yo	ma.da.a.ru.yo
kondo wa musunde_hiraite yo	kon.do.wa.mu.sun.de._hi.ra.i.te.yo
sore wa ura da kara ato de	so.re.wa.u.ra.da.ka.ra.a.to.de
masakari	ma.sa.ka.ri
otete nokete	o.te.te.no.ke.te
moo yoshinasai yo moo sukoshi de gohan da kara	moo.yo.shi.na.sa.i.yo.moo.su.ko.shi.de.go.han.da.ka.ra
byooin de kirai na chuusha suru yoo ni naru yo	byoo.in.de.ki.ra.i.na.chuu.sha.su.ru.yoo.ni.na.ru.yo
kore ojiichan ni natta no yo	ko.re.o.jii.chan.ni.na.tta.no.yo
soo yo	soo.yo
moo yameru	moo.ya.me.ru
soreja kite naoshite choodai	so.re.ja.ki.te.na.o.shi.te.choo.da.i
ofune yo	o.fu.ne.yo
Ojiichan tokoro e nani ni notte iku no ga ii	O.jii.chan.to.ko.ro.e.na.ni.ni.no.tte.i.ku.no.ga.ii
ofune ga ii no	o.fu.ne.ga.ii.no
kishapoppo ga ii no	ki.sha.po.ppo.ga.ii.no
Nakatsu da kedo ofune de iku no ga ii ka ne	Na.ka.tsu.da.ke.do.o.fu.ne.de.i.ku.no.ga.ii.ka.ne
jidoosha ga ii ka ne	ji.doo.sha.ga.ii.ka.ne
hanashi ni naran ne	ha.na.shi.ni.na.ran.ne
doko ni iku no	do.ko.ni.i.ku.no
nakande chanto torinasai	na.kan.de.chan.to.to.ri.na.sa.i
ka ga iru kara hayaku shimete ne	ka.ga.i.ru.ka.ra.ha.ya.ku.shi.me.te.ne
Mama moo shinai yo	Ma.ma.moo.shi.na.i.yo
Sadafumichan akachan daite okusuri kai ni ikimashoo	Sa.da.fu.mi.chan.a.ka.cha.n.da.i.te.o.ku.su.ri.ka.i.ni.i.ki.ma.shoo
arigatoo wa	a.ri.ga.too.wa
boku dore dake aru ka kore ni notte goran	bo.ku.do.re.da.ke.a.ru.ka.ko.re.ni.no.tte.go.ran
ojichan ni sayonara ne	o.ji.chan.ni.sa.yo.na.ra.ne
kondo machi ni dete kaoo ne	kon.do.ma.chi.ni.de.te.ka.oo.ne
dame yo	da.me.yo
kyoo wa osoi kara ashita ne	kyoo.wa.o.so.i.ka.ra.a.shi.ta.ne
boku gohan tabeyoo	bo.ku.go.han.ta.be.yoo
omizu ireta kara ne	o.mi.zu.i.re.ta.ka.ra.ne
sore motte mo ii kara irasshai	so.re.mo.tte.mo.ii.ka.ra.i.ra.ssha.i
hai osakana	ha.i.o.sa.ka.na
otoofu mo tabete yo	o.too.fu.mo.ta.be.te.yo
futa aketara dame yo	fu.ta.a.ke.ta.ra.da.me.yo
futa totte	fu.ta.to.tte
okuchi akete	o.ku.chi.a.ke.te
taitai daibu tabeta wa ne	ta.i.ta.i.da.i.bu.ta.be.ta.wa.ne
chotto kore dake	cho.tto.ko.re.da.ke
otoofu sukoshi tabeyoo yo	o.too.fu.su.ko.shi.ta.be.yoo.yo
yawarakai yo	ya.wa.ra.ka.i.yo
takusan tabete doko iku no	ta.ku.san.ta.be.te.do.ko.i.ku.no
yoochien no sensee ga Sadachan iu ne	yoo.chi.en.no.se.nsee.ga.Sa.da.cha.n.i.u.ne
Sadafumichan ne	Sa.da.fu.mi.chan.ne
kabocha tabete yo sekkaku Mama ga taita n da kara	ka.bo.cha.ta.be.te.yo.se.kka.ku.Ma.ma.ga.ta.i.ta.n.da.ka.ra
boku kyoo kaze no okusuri nomu no wasureteta ne	bo.ku.kyoo.ka.ze.no.o.ku.su.ri.no.mu.no.wa.su.re.te.ta.ne
nani tsukuru no	na.ni.tsu.ku.ru.no
kiree ni ouchi ga tsumeta ne	ki.ree.ni.o.u.chi.ga.tsu.me.ta.ne
samashite ne	sa.ma.shi.te.ne
akachan chiisai kara yasashiku shite agete ne to itte aru desho	a.ka.chan.chii.sa.i.ka.ra.ya.sa.shi.ku.shi.te.a.ge.te.ne.to.i.tte.a.ru.de.sho
gomennasai iinasai	go.men.na.sa.i.ii.na.sa.i
gomennasai iinasai	go.men.na.sa.i.ii.na.sa.i
Papa okaerinasai wa	Pa.pa.o.ka.e.ri.na.sa.i.wa
ara gerogeropaa shinakucha	a.ra.ge.ro.ge.ro.paa.shi.na.ku.cha
nondara dame yo	non.da.ra.da.me.yo
ofuton shikoo ne	o.fu.ton.shi.koo.ne
dame yo ue ni agatcha	da.me.yo.u.e.ni.a.ga.tcha
ase ni naru kara tonton shitara dame	a.se.ni.na.ru.ka.ra.ton.ton.shi.ta.ra.da.me
mina ni oyasuminasai o ne	mi.na.ni.o.ya.su.mi.na.sa.i.o.ne
