꼼 어딨니 꼼	꼼.어.딨.니.꼼
지원이 그거 맛있니	지.원.이.그.거.맛.있.니
응 뭐야 그게	응.뭐.야.그.게
응	응
응	응
호도 차	호.도.차
호도 차	호.도.차
흐흐 호도 차	흐.흐.호.도.차
이건	이.건
이건 쑥 차	이.건.쑥.차
응	응
이건 호도 차	이.건.호.도.차
응	응
맛있어	맛.있.어
으응	으.응
이거 누가 사다 줬어	이.거.누.가.사.다.줬.어
엄마가	엄.마.가
으응	으.응
응 찐 먹으라고 엄마가 사다 줬어	응.찐.먹.으.라.고.엄.마.가.사.다.줬.어
응	응
찐이 엄마 이뻐	찐.이.엄.마.이.뻐
아빠 미고 엄마 제일 이뻐	아.빠.미.고.엄.마.제.일.이.뻐
허허	허.허
으응	으.응
아빠 예쁘구	아.빠.예.쁘.구
아이구 인젠 조사도 붙이네	아.이.구.인.젠.조.사.도.붙.이.네
아빠 제일 미고	아.빠.제.일.미.고
오오 그래 그래 그래야지	오.오.그.래.그.래.그.래.야.지
아빠 제일 이뻐 엄마 제일 이뻐	아.빠.제.일.이.뻐.엄.마.제.일.이.뻐
찐이가 뭐야	찐.이.가.뭐.야
최고	최.고
찐이가 최고	찐.이.가.최.고
오오	오.오
응 요기 놓라고	응.요.기.놓.라.고
더 안가	더.안.가
붙어서	붙.어.서
이게 붙어서 안 가잖아	이.게.붙.어.서.안.가.잖.아
찐이가 최고야	찐.이.가.최.고.야
누가 그랬어	누.가.그.랬.어
응	응
어어 요거야 찐이가	어.어.요.거.야.찐.이.가
으응	으.응
그건 뭐	그.건.뭐
찐이가 뭐야 그거	찐.이.가.뭐.야.그.거
최고	최.고
후후	후.후
최고는 이러는 거야	최.고.는.이.러.는.거.야
어어	어.어
허허허	허.허.허
맛있니	맛.있.니
그럼 이렇게 마셔	그.럼.이.렇.게.마.셔
숫가락으로 먹으면 안돼	숫.가.락.으.로.먹.으.면.안.돼
이렇게 먹어야지	이.렇.게.먹.어.야.지
어어어 	어.어.어
찐이 최고	찐.이.최.고
응	응
수터	수.터
찐이 아침에 뭐 먹었어	찐.이.아.침.에.뭐.먹.었.어
까까 먹었어	까.까.먹.었.어
밥은 안 먹었어	밥.은.안.먹.었.어
밥 안 먹었어	밥.안.먹.었.어
먹었지이 	먹.었.지.이
밤 먹었어	밤.먹.었.어
밤하고 또	밤.하.고.또
사과 먹었어	사.과.먹.었.어
사과	사.과
또 뭐 먹었어	또.뭐.먹.었.어
밥은	밥.은
밥은 아이 싫어구 밤 먹었어	밥.은.아.이.싫.어.구.밤.먹.었.어
아이구 말도 잘하네	아.이.구.말.도.잘.하.네
밥 먹었어 지원이	밥.먹.었.어.지.원.이
밤 먹었어	밤.먹.었.어
밥은 아이 싫어구 밤 먹었어	밥.은.아.이.싫.어.구.밤.먹.었.어
꼬는	꼬.는
응	응
꼬는 맛있어	꼬.는.맛.있.어
으응 그러면 국은	으.응.그.러.면.국.은
맛있어	맛.있.어
그럼 뭐가 아이 싫어야	그.럼.뭐.가.아.이.싫.어.야
밥이 아이 싫어야	밥.이.아.이.싫.어.야
밥두 맛있어	밥.두.맛.있.어
응	응
둘	둘
응	응
응	응
응	응
응	응
다섯	다.섯
여섯	여.섯
일곱	일.곱
아홉두 알어	아.홉.두.알.어
여덟 아홉	여.덟.아.홉
열	열
하나	하.나
둘	둘
넷	넷
다섯	다.섯
여섯	여.섯
이 사 막 나와	이.사.막.나.와
후후	후.후
일	일
이	이
응	응
지원이네 집 몇층	지.원.이.네.집.몇.층
구층	구.층
어이구 잘하네	어.이.구.잘.하.네
구층 어떻게 써	구.층.어.떻.게.써
구 구 자 찾아봐봐	구.구.자.찾.아.봐.봐
구 자 어딨나 	구.자.어.딨.나
구자 아아	구.자.아.아
여기서 구자 찾아 봐	여.기.서.구.자.찾.아.봐
여기 구 구자 찾아 봐	여.기.구.구.자.찾.아.봐
오오 삼 이	오.오.삼.이
삼자 찾아 봐	삼.자.찾.아.봐
삼	삼
요기 봐봐	요.기.봐.봐
삼자 어딨어	삼.자.어.딨.어
에이 이건 팔자지 	에.이.이.건.팔.자.지
응 사	응.사
응 삼	응.삼
요거는 뭐야	요.거.는.뭐.야
사	사
응	응
요건 삼	요.건.삼
응	응
응	응
응	응
응	응
응 찐 캄했어	응.찐.캄.했.어
일	일
이	이
삼	삼
사	사
오	오
육	육
십	십
구	구
팔	팔
육	육
새	새
새는 또 뭐야	새.는.또.뭐.야
하비	하.비
사	사
응	응
응	응
으응 하비가 코자라그랬어	으.응.하.비.가.코.자.라.그.랬.어
응	응
그렇게 하면 안된다 그랬어	그.렇.게.하.면.안.된.다.그.랬.어
응	응
고렇게 해야지 이쁘다 그랬지	고.렇.게.해.야.지.이.쁘.다.그.랬.지
네에 	네.에
지쪽	지.쪽
이거 왜 안 먹어	이.거.왜.안.먹.어
오오 일	오.오.일
껑충 	껑.충
일	일
이	이
삼	삼
사	사
일	일
오	오
십	십
이	이
사	사
오	오
십	십
구	구
하나	하.나
둘 	둘
오뚜뚜뚜뚜	오.뚜.뚜.뚜.뚜
구리 구리	구.리.구.리
어	어
아침 바람 찬 바람에 	아.침.바.람.찬.바.람.에
울고 가는 저 기러기	울.고.가.는.저.기.러.기
우리 선생 계실 적에 	우.리.선.생.계.실.적.에
엽서 한장 써 주세요	엽.서.한.장.써.주.세.요
구리 구리 구리 구리 가위 바위 보	구.리.구.리.구.리.구.리.가.위.바.위.보
응	응
까치 까치 설날은 어저께고요	까.치.까.치.설.날.은.어.저.께.고.요
우리 우리 설날은 오늘이래요	우.리.우.리.설.날.은.오.늘.이.래.요
허허	허.허
꼬	꼬
꺼가 뭔데	꺼.가.뭔.데
껌	껌
으응	으.응
엄마 껌	엄.마.껌
엄마 까까 사다 줬잖아	엄.마.까.까.사.다.줬.잖.아
으응 이따가	으.응.이.따.가
코 자고 나서 사다 주께 	코.자.고.나.서.사.다.주.께
네	네
응	응
응 나	응.나
나가 누군데	나.가.누.군.데
응 나 껌 사줘	응.나.껌.사.줘
응	응
또 말해 봐	또.말.해.봐
오이구	오.이.구
말 잘하네	말.잘.하.네
나 껌 주세요 그랬어	나.껌.주.세.요.그.랬.어
엄마 나 껌 주세요 그래 봐	엄.마.나.껌.주.세.요.그.래.봐
엄마 나 껌 주세요	엄.마.나.껌.주.세.요
내일 주께요	내.일.주.께.요
히히히 	히.히.히
먹어 빨리	먹.어.빨.리
오오오 아이구야	오.오.오.아.이.구.야
찐 앉어 봐	찐.앉.어.봐
그리고 말해 봐	그.리.고.말.해.봐
찐 어떻게 했다구 아까	찐.어.떻.게.했.다.구.아.까
응	응
야 찐아	야.찐.아
이거는 뭐니	이.거.는.뭐.니
이거는	이.거.는
아이고 잘했다	아.이.고.잘.했.다
앉어 봐 저기 가서	앉.어.봐.저.기.가.서
그리고 말을 해	그.리.고.말.을.해
너 조금 전에 조기 앉어서 뭐라 그랬어	너.조.금.전.에.조.기.앉.어.서.뭐.라.그.랬.어
응	응
응 찐 요기 앉이구 녹음기 해	응.찐.요.기.앉.이.구.녹.음.기.해
다시 한번 말해 봐	다.시.한.번.말.해.봐
앉어봐	앉.어.봐
네	네
찐 어떻게 했다구	찐.어.떻.게.했.다.구
멍석 깔아 놓으면 안해	멍.석.깔.아.놓.으.면.안.해
학교 종이 해 봐	학.교.종.이.해.봐
응 해 봐	응.해.봐
응 그래 생일 해봐	응.그.래.생.일.해.봐
아이구 잘했네	아.이.구.잘.했.네
그 다음에 그럼 또 찐이 이거는 뭐더라	그.다.음.에.그.럼.또.찐.이.이.거.는.뭐.더.라
이거는	이.거.는
그러면 이거는 뭐고 이거는 뭐야	그.러.면.이.거.는.뭐.고.이.거.는.뭐.야
응	응
아까 너 뭐라 그랬잖아	아.까.너.뭐.라.그.랬.잖.아
이거는 뭐	이.거.는.뭐
응	응
아빠는 어디 가셨어	아.빠.는.어.디.가.셨.어
오오	오.오
아빠는 어디 갔다 왔어	아.빠.는.어.디.갔.다.왔.어
놀이터	놀.이.터
그 전에는	그.전.에.는
응	응
찐 어디 앉을래	찐.어.디.앉.을.래
응	응
어디	어.디
요기	요.기
야야 녹음기 부서진다	야.야.녹.음.기.부.서.진.다
할머니는 어디 앉으셨어	할.머.니.는.어.디.앉.으.셨.어
의자에 어떻게 하셨어	의.자.에.어.떻.게.하.셨.어
아이 잘했네	아.이.잘.했.네
또 엄마 하라구	또.엄.마.하.라.구
생일 축하 	생.일.축.하
응 해 봐	응.해.봐
해 빨리	해.빨.리
으응 아이고 잘했네	으.응.아.이.고.잘.했.네
새	새
무슨 새	무.슨.새
응 해 봐	응.해.봐
새야 새야	새.야.새.야
응	응
어딜 가	어.딜.가
어떻게 하고 왔어	어.떻.게.하.고.왔.어
응	응
사	사
또 누구 손 잡고	또.누.구.손.잡.고
이거 누가 사 줬어	이.거.누.가.사.줬.어
엄마가	엄.마.가
어떻게 사 줬어	어.떻.게.사.줬.어
안고 가서 사 줬어	안.고.가.서.사.줬.어
아이고	아.이.고
언니	언.니
언니는 집에 있구	언.니.는.집.에.있.구
으응	으.응
지원이 이거 뭐라구	지.원.이.이.거.뭐.라.구
아니 이거	아.니.이.거
응	응
화장 뭐	화.장.뭐
화장 다	화.장.다
말해 봐	말.해.봐
그거 뭐야	그.거.뭐.야
으응 지원인 어디가 이뻐	으.응.지.원.인.어.디.가.이.뻐
말로 해야지	말.로.해.야.지
어디가 제일 이뻐	어.디.가.제.일.이.뻐
거기 뭐라 그래	거.기.뭐.라.그.래
또꼬삐야 거기	또.꼬.삐.야.거.기
으응 그리고 또 어디가 이뻐	으.응.그.리.고.또.어.디.가.이.뻐
그게 뭔데	그.게.뭔.데
그게 뭐야	그.게.뭐.야
오이	오.이
요거 뭐야	요.거.뭐.야
요기 이뻐	요.기.이.뻐
응	응
물	물
지원이 이거 뭐야	지.원.이.이.거.뭐.야
화장이다	화.장.이.다
바지	바.지
오오 그건 바지	오.오.그.건.바.지
이거는	이.거.는
엄마 바지	엄.마.바.지
이거는	이.거.는
꼬치 꼬까	꼬.치.꼬.까
으응 이거는 뭐야	으.응.이.거.는.뭐.야
으응 집이 그려 나오는 꼬까	으.응.집.이.그.려.나.오.는.꼬.까
철오빠하고 찐하고	철.오.빠.하.고.찐.하.고
오오유 그거 뭐야	오.오.유.그.거.뭐.야
야야 고장 나겠다	야.야.고.장.나.겠.다
이거는 인제 뭐 그릴까	이.거.는.인.제.뭐.그.릴.까
찐이 화났어	찐.이.화.났.어
지원이 그동안 녹음 안했지	지.원.이.그.동.안.녹.음.안.했.지
엄마가 하도 바뻐서	엄.마.가.하.도.바.뻐.서
응 내일 엄마 학교 가	응.내.일.엄.마.학.교.가
그럼 누구하고 놀아	그.럼.누.구.하.고.놀.아
혼자 놀아	혼.자.놀.아
아이고 불쌍해라	아.이.고.불.쌍.해.라
할머니는	할.머.니.는
그러면 누구하고 놀아 지원이는	그.러.면.누.구.하.고.놀.아.지.원.이.는
혼자	혼.자
어이구	어.이.구
아이구 착해	아.이.구.착.해
맘마 또 먹어야지 호호해서	맘.마.또.먹.어.야.지.호.호.해.서
오오 잘했네	오.오.잘.했.네
맛이 어때	맛.이.어.때
맛있어	맛.있.어
그거 누가 만들어 줬어	그.거.누.가.만.들.어.줬.어
뭐라구 다시 말해 봐	뭐.라.구.다.시.말.해.봐
엄마가 만들었어	엄.마.가.만.들.었.어
엄마 안고 맘마	엄.마.안.고.맘.마
으응 엄마 앉었고 지원이도 앉아서 맘마	으.응.엄.마.앉.었.고.지.원.이.도.앉.아.서.맘.마
네에	네.에
엄마 맘맘 주세요오	엄.마.맘.맘.주.세.요.오
아이 맛있네에	아.이.맛.있.네.에
응 찐이 후해서 먹었다	응.찐.이.후.해.서.먹.었.다
물만 먹지 말고 밥도 먹어야지	물.만.먹.지.말.고.밥.도.먹.어.야.지
맛있어	맛.있.어
두부	두.부
이거 뭐야	이.거.뭐.야
두부	두.부
이거 뭐야	이.거.뭐.야
응	응
밥	밥
밥	밥
뭐야	뭐.야
응	응
응	응
응	응
또	또
뭐해	뭐.해
또 뭐	또.뭐
노	노
노가 뭔데	노.가.뭔.데
또	또
또 뭐	또.뭐
또 참파	또.참.파
그게 뭐야	그.게.뭐.야
시입파가 뭐야	시.입.파.가.뭐.야
너 왜 일어나 밥 먹어야지	너.왜.일.어.나.밥.먹.어.야.지
아아 갖고 와 봐 어디 십팔이 있나	아.아.갖.고.와.봐.어.디.십.팔.이.있.나
십하고 팔은 어딨어	십.하.고.팔.은.어.딨.어
팔 어딨어	팔.어.딨.어
팔 어딨어	팔.어.딨.어
팔	팔
그건 육이지	그.건.육.이.지
요거 팔 팔	요.거.팔.팔
응	응
삼 찾아봐	삼.찾.아.봐
아이고 지원이 삼자도 아네	아.이.고.지.원.이.삼.자.도.아.네
그러면 사 찾아봐	그.러.면.사.찾.아.봐
사	사
응	응
사 어딨어	사.어.딨.어
오이구 잘하네	오.이.구.잘.하.네
그러면 팔	그.러.면.팔
팔 찾아봐 팔	팔.찾.아.봐.팔
팔	팔
에이구 그건 육자래니까	에.이.구.그.건.육.자.래.니.까
팔 요깄네 팔 팔	팔.요.깄.네.팔.팔
지원아 구자 어딨니 구자	지.원.아.구.자.어.딨.니.구.자
구	구
구자 어딨니	구.자.어.딨.니
그건 팔	그.건.팔
그래 그거 구	그.래.그.거.구
우리 집 몇 층	우.리.집.몇.층
구층이지 	구.층.이.지
그거 뭐라 그래	그.거.뭐.라.그.래
시 계	시.계
응 저건 엄마 시계고 이건 찐 시계고	응.저.건.엄.마.시.계.고.이.건.찐.시.계.고
응	응
응 그래	응.그.래
뭘 빼	뭘.빼
그거 빼면 안된다고 어제 그랬잖아	그.거.빼.면.안.된.다.고.어.제.그.랬.잖.아
붙어 있는 거라고	붙.어.있.는.거.라.고
아빠한테 혼났잖아 지원이	아.빠.한.테.혼.났.잖.아.지.원.이
응 그래서 찐이가 흥흥해서 엄마가 안어 줬었어	응.그.래.서.찐.이.가.흥.흥.해.서.엄.마.가.안.어.줬.었.어
으응	으.응
왜 흥흥 했는데	왜.흥.흥.했.는.데
으응 그거 빼라 빼라 그래 가지고	으.응.그.거.빼.라.빼.라.그.래.가.지.고
으응 헤헤헤	으.응.헤.헤.헤
아빠가 이노옴하니까는 찐이가 흥흥흥해서 엄마가 안어줬어	아.빠.가.이.노.옴.하.니.까.는.찐.이.가.흥.흥.흥.해.서.엄.마.가.안.어.줬.어
이자 찾아봐 지원아 이자	이.자.찾.아.봐.지.원.아.이.자
이	이
옳 지	옳.지
일	일
일 어딨니	일.어.딨.니
요게 일이지	요.게.일.이.지
일	일
그러며는 십 어딨니 십	그.러.며.는.십.어.딨.니.십
요게 십이야	요.게.십.이.야
십	십
십자는 일자에다가 공 붙인 거야	십.자.는.일.자.에.다.가.공.붙.인.거.야
그건 뭐야	그.건.뭐.야
그래	그.래
또꼬삐가 됐다 그치	또.꼬.삐.가.됐.다.그.치
이거는 무슨 자야	이.거.는.무.슨.자.야
응	응
으응 구자하고 육자하고 또꼬삐야	으.응.구.자.하.고.육.자.하.고.또.꼬.삐.야
으응 꺼꾸로 보이는구나 너는	으.응.꺼.꾸.로.보.이.는.구.나.너.는
응	응
어디	어.디
응 또꼬삐 그래	응.또.꼬.삐.그.래
세개가 또꼬삐구나	세.개.가.또.꼬.삐.구.나
또꼬삐	또.꼬.삐
응 지원아 팔자 어딨니 팔	응.지.원.아.팔.자.어.딨.니.팔
팔	팔
요거 팔	요.거.팔
동그래미가 두개 있는 게 팔이야	동.그.래.미.가.두.개.있.는.게.팔.이.야
그럼 뭐야	그.럼.뭐.야
그게 뭐야	그.게.뭐.야
뭐	뭐
어쩌라구	어.쩌.라.구
빼라 그러면 아빠가 어떻게 하지	빼.라.그.러.면.아.빠.가.어.떻.게.하.지
응	응
아빠가 또 이놈하면 어떻게 해	아.빠.가.또.이.놈.하.면.어.떻.게.해
응	응
찐이 이놈할거야	찐.이.이.놈.할.거.야
응	응
허허허	허.허.허
찐이 이놈하면 아빠가 응응할꺼라구	찐.이.이.놈.하.면.아.빠.가.응.응.할.꺼.라.구
흐흐	흐.흐
그럼 엄마가 누구를 안아 줄까	그.럼.엄.마.가.누.구.를.안.아.줄.까
응	응
붙었다 그래	붙.었.다.그.래
앉어라	앉.어.라
시계 앉게 해줘	시.계.앉.게.해.줘
옳 지	옳.지
시계가 앉았다	시.계.가.앉.았.다
시계가 어디가 이쁘니	시.계.가.어.디.가.이.쁘.니
응	응
그건 무슨 자야	그.건.무.슨.자.야
물	물
무 달라구	무.달.라.구
여기 무 있잖아	여.기.무.있.잖.아
무 싫어	무.싫.어
그래 무 빼고 줄께 그럼	그.래.무.빼.고.줄.께.그.럼
무 달라구	무.달.라.구
그래 무	그.래.무
꼬기 꼬	꼬.기.꼬
야	야
그래 생일 축하	그.래.생.일.축.하
야 밥을 다 먹어야지 생일 축하를 또 하지	야.밥.을.다.먹.어.야.지.생.일.축.하.를.또.하.지
아이 미워라 지원이	아.이.미.워.라.지.원.이
뭐하나	뭐.하.나
어제 추석이었는데 그게 무슨 날이야	어.제.추.석.이.었.는.데.그.게.무.슨.날.이.야
아기	아.기
누구 아기	누.구.아.기
찐 아기	찐.아.기
어제 지원이 누구한테 절했어	어.제.지.원.이.누.구.한.테.절.했.어
떡	떡
응 떡 먹구 절했어	응.떡.먹.구.절.했.어
누구한테 절했어	누.구.한.테.절.했.어
바닥에 이렇게 했는데 누구한테 한거야	바.닥.에.이.렇.게.했.는.데.누.구.한.테.한.거.야
엄마 방에서 그래 이렇게 했지	엄.마.방.에.서.그.래.이.렇.게.했.지
근데 누구한테 절했어	근.데.누.구.한.테.절.했.어
응 하비한테 절했지 	응.하.비.한.테.절.했.지
떡두 갖다 놓구 물고기도 갖다 놓구 까까도 갖다 놓구 사과도 갖다 놓구 배두 갖다 놓구 밥두 있구	떡.두.갖.다.놓.구.물.고.기.도.갖.다.놓.구.까.까.도.갖.다.놓.구.사.과.도.갖.다.놓.구.배.두.갖.다.놓.구.밥.두.있.구
국두 있구 그래 가지고 크윽 절했지	국.두.있.구.그.래.가.지.고.크.윽.절.했.지
헤헤헤 그 날이 무슨 날이야	헤.헤.헤.그.날.이.무.슨.날.이.야
누구 생일	누.구.생.일
참 아이구 바보같애	참.아.이.구.바.보.같.애
지원이 지금 뭐 먹니	지.원.이.지.금.뭐.먹.니
떡	떡
떡 맛있어	떡.맛.있.어
응	응
떡 맛있어	떡.맛.있.어
응 해봐	응.해.봐
생일 토치가 아니라 생일 축하	생.일.토.치.가.아.니.라.생.일.축.하
해봐	해.봐
생일 축하 해봐	생.일.축.하.해.봐
아빠 어딨는데	아.빠.어.딨.는.데
아빠가 뭐하니	아.빠.가.뭐.하.니
야 녹음기 속에 아빠가 코 고는 소리까지 들리겠다 어떻게 하니	야.녹.음.기.속.에.아.빠.가.코.고.는.소.리.까.지.들.리.겠.다.어.떻.게.하.니
아빠 이 녹음기	아.빠.이.녹.음.기
으응 아빠 이놈이	으.응.아.빠.이.놈.이
엄마 이노미	엄.마.이.노.미
찐 이노미	찐.이.노.미
찐 뭐	찐.뭐
아아 찐 녹음기	아.아.찐.녹.음.기
으응	으.응
찐이 어제 엄마 없을 때 어떻게 하고 놀았어	찐.이.어.제.엄.마.없.을.때.어.떻.게.하.고.놀.았.어
과자 먹고 놀았어	과.자.먹.고.놀.았.어
야 지원아	야.지.원.아
꼬까는 뭐니	꼬.까.는.뭐.니
꼬까를 뭐라 그래	꼬.까.를.뭐.라.그.래
이거 뭐야	이.거.뭐.야
누구 옷	누.구.옷
으응 이거 엄마 꼬까라 그러기도 하지	으.응.이.거.엄.마.꼬.까.라.그.러.기.도.하.지
엄마 옷이야	엄.마.옷.이.야
그러면 엄마 꼬까는 어디 있어	그.러.면.엄.마.꼬.까.는.어.디.있.어
이거	이.거
그러구 또 엄마 옷은	그.러.구.또.엄.마.옷.은
어느 거	어.느.거
이거	이.거
그러면 옷을 뭐라 그래	그.러.면.옷.을.뭐.라.그.래
꼬까를 뭐라 그래	꼬.까.를.뭐.라.그.래
옷이라 그러구	옷.이.라.그.러.구
으으응 까까를 또 뭐라 그래	으.으.응.까.까.를.또.뭐.라.그.래
과자	과.자
으으응 그래	으.으.응.그.래
그럼 꼬까를 뭐라 그래	그.럼.꼬.까.를.뭐.라.그.래
그러면 옷을 뭐라 그래	그.러.면.옷.을.뭐.라.그.래
에에이구	에.에.이.구
지원이 그럼 옷 어딨어	지.원.이.그.럼.옷.어.딨.어
지원이 옷	지.원.이.옷
이거야	이.거.야
그러면 지원이 꼬까는	그.러.면.지.원.이.꼬.까.는
응	응
꼬까는 없어	꼬.까.는.없.어
옷은 어디 있어	옷.은.어.디.있.어
그거구	그.거.구
꼬까는	꼬.까.는
이거구	이.거.구
어이구 어이구 너 오늘 이 닦었니	어.이.구.어.이.구.너.오.늘.이.닦.었.니
언제 닦었어	언.제.닦.었.어
아야야야 	아.야.야.야
저기 아까 누가 왔다 갔니 지원아	저.기.아.까.누.가.왔.다.갔.니.지.원.아
응	응
창까이	창.까.이
앉어 봐봐	앉.어.봐.봐
엄마가 머리 이쁘게 해 줄께	엄.마.가.머.리.이.쁘.게.해.줄.께
철 오빠 왔다 갔어	철.오.빠.왔.다.갔.어
이 사람이 왜 그렇게 그냥 막	이.사.람.이.왜.그.렇.게.그.냥.막
철 오빠가 어디 있었어	철.오.빠.가.어.디.있.었.어
지원아 옷을 뭐라 그래	지.원.아.옷.을.뭐.라.그.래
까까를 뭐라 그래	까.까.를.뭐.라.그.래
그럼 맘마를 뭐라 그래	그.럼.맘.마.를.뭐.라.그.래
먹어	먹.어
맘마를 뭐라 그래	맘.마.를.뭐.라.그.래
밥이라 그래	밥.이.라.그.래
어이구	어.이.구
그러며는 과일을 뭐라 그래	그.러.며.는.과.일.을.뭐.라.그.래
헤헤 모르겠지	헤.헤.모.르.겠.지
어어 맘마를 뭐라 그런다구	어.어.맘.마.를.뭐.라.그.런.다.구
다시 크게 말해 봐	다.시.크.게.말.해.봐
맘마가 뭐라구	맘.마.가.뭐.라.구
맘마가 뭐라구	맘.마.가.뭐.라.구
지원아	지.원.아
그러면 밥을 뭐라 그래	그.러.면.밥.을.뭐.라.그.래
그러면 맘마를 뭐라 그래	그.러.면.맘.마.를.뭐.라.그.래
꼬까를 뭐라 그래	꼬.까.를.뭐.라.그.래
요게 뭐니	요.게.뭐.니
떡이야	떡.이.야
떡두 과자니	떡.두.과.자.니
뭐야	뭐.야
떡은 떡이야	떡.은.떡.이.야
으음 그럼 껌두 과자니	으.음.그.럼.껌.두.과.자.니
그럼 껌은 뭐야	그.럼.껌.은.뭐.야
껌은 먹 껌이야	껌.은.먹.껌.이.야
그리고 먹는 거야	그.리.고.먹.는.거.야
오오 그래 	오.오.그.래
사과두 과자니	사.과.두.과.자.니
그럼 뭐야	그.럼.뭐.야
어어	어.어
지원아 머리좀 이쁘게 묶어 주께	지.원.아.머.리.좀.이.쁘.게.묶.어.주.께
아니야	아.니.야
오오 신이야	오.오.신.이.야
저 아줌마 뭐 하니	저.아.줌.마.뭐.하.니
코 자는 거야	코.자.는.거.야
지원아 지원이가 저기 이름이 뭐지	지.원.아.지.원.이.가.저.기.이.름.이.뭐.지
응	응
지원이 이름이 뭐더라	지.원.이.이.름.이.뭐.더.라
지원이 이름 뭐라 그래	지.원.이.이.름.뭐.라.그.래
응	응
뭐라 그래 지원이 이름	뭐.라.그.래.지.원.이.이.름
머여	머.여
야 쉬 해야지	야.쉬.해.야.지
너 우유 먹었으니 쉬 하자	너.우.유.먹.었.으.니.쉬.하.자
지원이 배꼽	지.원.이.배.꼽
이쁜 배꼽	이.쁜.배.꼽
책 보자 우리	책.보.자.우.리
지원아 꼬까를 뭐라 그래	지.원.아.꼬.까.를.뭐.라.그.래
옷이라 그래	옷.이.라.그.래
오오	오.오
그러면 맘마를 뭐라 그래	그.러.면.맘.마.를.뭐.라.그.래
뭐	뭐
밥	밥
오오 그래	오.오.그.래
응	응
지원이 밥 먹는 거 좋아해	지.원.이.밥.먹.는.거.좋.아.해
맛있어 밥	맛.있.어.밥
밥 맛있어	밥.맛.있.어
근데 왜 밥을 안 먹어	근.데.왜.밥.을.안.먹.어
응	응
떡 맛있어 지원이	떡.맛.있.어.지.원.이
으응 엄마 커피좀 갖고 오께	으.응.엄.마.커.피.좀.갖.고.오.께
엄마 커피 조기 타 놓고	엄.마.커.피.조.기.타.놓.고
서보세요	서.보.세.요
여기 있어 여기 	여.기.있.어.여.기
이히히	이.히.히
쉬	쉬
쉬 하는 소리 지원이는 언니야 보고 싶니	쉬.하.는.소.리.지.원.이.는.언.니.야.보.고.싶.니
얼만큼	얼.만.큼
언니가 이만큼 보고 싶어	언.니.가.이.만.큼.보.고.싶.어
언니가 이만큼 보고 싶어	언.니.가.이.만.큼.보.고.싶.어
언니야가 뭐 해 줬는데	언.니.야.가.뭐.해.줬.는.데
콤	콤
콤이 뭔데	콤.이.뭔.데
어어 과자 사주구 컴퓨터 해 줬어	어.어.과.자.사.주.구.컴.퓨.터.해.줬.어
응	응
컴이 컴퓨터야	컴.이.컴.퓨.터.야
오오 껌 먹구 또 과자 먹구	오.오.껌.먹.구.또.과.자.먹.구
화장두 먹었어	화.장.두.먹.었.어
화장은 어떻게 해	화.장.은.어.떻.게.해
오오 얼굴에 이렇게 발랐어	오.오.얼.굴.에.이.렇.게.발.랐.어
언니가 화장도 해 줬었어	언.니.가.화.장.도.해.줬.었.어
응	응
으응 언니야 보고 싶어	으.응.언.니.야.보.고.싶.어
